7069896it [05:12, 22650.58it/s]
397 1000003191 3556
398 1000006018 3537
399 1000006354 3529
400 1000010918 3527
401 1000001737 3505
402 1000005465 3480
403 1000018083 3476
404 1000014028 3472
405 1000004027 3440
406 1000016276 3433
407 1000003778 3430
408 1000010849 3430
409 1000001941 3424
410 1000000424 3406
411 1000018790 3399
412 1000008558 3386
413 1000004320 3374
414 1000005326 3370
415 1000010675 3369
416 1000003684 3359
417 1000008864 3358
418 1000014316 3344
419 1000014113 3343
420 1000001974 3341
421 1000002476 3338
422 1000008805 3337
423 1000008962 3331
424 1000011403 3306
425 1000019002 3305
426 1000015658 3283
427 1000001968 3279
428 1000013038 3278
429 1000007122 3275
430 1000015698 3270
431 1000001925 3251
432 1000014324 3246
433 1000014184 3239
434 1000006732 3235
435 1000014476 3234
436 1000002464 3221
437 1000019382 3221
438 1000001838 3220
439 1000001727 3205
440 1000012999 3195
441 1000014810 3194
442 1000008560 3187
443 1000016234 3186
444 1000014019 3171
445 1000017057 3167
446 1000002973 3162
447 1000010832 3157
448 1000007083 3157
449 1000010726 3152
450 1000003031 3150
451 1000003938 3143
452 1000018252 3132
453 1000014049 3128
454 1000010836 3127
455 1000012133 3118
456 1000004157 3116
457 1000005894 3103
458 1000014090 3100
459 1000006673 3099
460 1000015744 3094
461 1000007609 3089
462 1000014128 3089
463 1000014017 3085
464 1000003952 3082
465 1000004444 3073
466 1000003992 3066
467 1000012443 3064
468 1000001921 3063
469 1000005521 3055
470 1000006318 3054
471 1000004065 3048
472 1000003841 3043
473 1000010830 3041
474 1000005732 3039
475 1000007132 3027
476 1000014111 3017
477 1000013023 2996
478 1000005782 2981
479 1000001258 2974
480 1000006314 2970
481 1000007361 2969
482 1000006458 2964
483 1000005990 2953
484 1000019873 2949
485 1000014303 2940
486 1000004275 2940
487 1000014526 2930
488 1000006158 2922
489 1000014905 2915
490 1000003955 2912
491 1000018376 2907
492 1000005880 2906
493 1000013524 2905
494 1000001292 2899
495 1000002004 2898
496 1000013007 2872
497 1000018521 2863
498 1000002601 2862
499 1000017661 2860
500 1000003763 2858
501 1000020759 2857
502 1000005842 2851
503 1000010702 2840
504 1000004074 2839
505 1000010387 2829
506 1000001256 2824
507 1000016486 2823
508 1000004035 2823
509 1000018166 2822
510 1000003950 2809
511 1000002301 2807
512 1000012420 2797
513 1000003468 2795
514 1000012426 2793
515 1000010989 2780
516 1000008947 2779
517 1000012977 2773
518 1000014474 2773
519 1000006378 2773
520 1000005966 2766
521 1000017969 2760
522 1000012967 2754
523 1000006398 2745
524 1000016402 2744
525 1000015774 2743
526 1000014148 2743
527 1000016676 2739
528 1000013015 2727
529 1000002526 2727
530 1000016704 2719
531 1000012399 2716
532 1000010651 2704
533 1000018250 2697
534 1000004142 2692
535 1000022508 2685
536 1000003775 2671
537 1000001829 2670
538 1000010716 2667
539 1000018192 2662
540 1000000366 2661
541 1000005282 2660
542 1000015364 2639
543 1000019071 2638
544 1000017973 2632
545 1000015664 2627
546 1000012971 2607
547 1000015816 2599
548 1000018366 2598
549 1000002363 2592
550 1000011367 2592
551 1000002981 2586
552 1000004079 2579
553 1000010033 2577
554 1000018722 2576
555 1000008904 2566
556 1000004591 2564
557 1000008854 2551
558 1000014096 2541
559 1000005270 2535
560 1000014726 2534
561 1000015470 2531
562 1000002822 2527
563 1000010544 2524
564 1000019081 2519
565 1000012416 2515
566 1000003039 2505
567 1000002371 2503
568 1000005491 2499
569 1000002308 2497
570 1000002208 2497
571 1000000420 2494
572 1000018203 2489
573 1000005495 2487
574 1000003620 2482
575 1000009932 2478
576 1000016668 2478
577 1000015541 2474
578 1000001704 2473
579 1000014062 2473
580 1000010174 2473
581 1000005714 2470
582 1000010928 2459
583 1000019570 2457
584 1000004181 2456
585 1000014390 2453
586 1000021535 2449
587 1000005507 2448
588 1000019510 2448
589 1000001775 2442
590 1000003825 2441
591 1000016702 2437
592 1000014107 2435
593 1000010024 2433
594 1000009930 2426
595 1000006706 2424
596 1000010820 2423
597 1000009661 2423
598 1000001842 2409
599 1000014081 2406
600 1000014688 2403
601 1000018707 2398
602 1000010389 2394
603 1000003934 2389
604 1000010673 2389
605 1000000457 2388
606 1000014907 2387
607 1000010549 2380
608 1000010461 2373
609 1000002783 2373
610 1000010759 2372
611 1000010619 2369
612 1000014075 2365
613 1000015820 2365
614 1000012620 2363
615 1000015666 2356
616 1000002900 2350
617 1000002866 2349
618 1000011345 2348
619 1000014012 2347
620 1000001849 2337
621 1000005898 2324
622 1000014122 2316
623 1000016274 2315
624 1000000591 2313
625 1000010910 2311
626 1000016212 2305
627 1000014309 2292
628 1000015226 2291
629 1000010149 2286
630 1000012973 2283
631 1000015867 2275
632 1000014396 2273
633 1000016690 2269
634 1000001943 2269
635 1000018709 2260
636 1000004311 2251
637 1000003015 2238
638 1000010591 2235
639 1000007409 2233
640 1000016670 2231
641 1000014700 2229
642 1000009045 2224
643 1000012791 2222
644 1000002123 2222
645 1000018029 2209
646 1000016500 2202
647 1000014408 2194
648 1000007365 2191
649 1000009058 2189
650 1000010782 2186
651 1000008094 2185
652 1000019580 2185
653 1000002968 2182
654 1000017844 2180
655 1000014692 2170
656 1000019588 2169
657 1000001750 2165
658 1000003940 2165
659 1000016153 2164
660 1000004318 2152
661 1000005744 2149
662 1000003402 2148
663 1000006376 2148
664 1000011437 2146
665 1000018487 2144
666 1000010037 2142
667 1000007543 2141
668 1000002593 2138
669 1000014349 2130
670 1000003347 2129
671 1000005605 2126
672 1000008778 2118
673 1000010365 2115
674 1000012513 2114
675 1000019520 2110
676 1000001709 2108
677 1000011037 2097
678 1000016912 2096
679 1000018507 2095
680 1000005734 2094
681 1000019578 2087
682 1000006380 2085
683 1000009979 2084
684 1000000368 2081
685 1000000520 2076
686 1000018610 2074
687 1000018062 2073
688 1000016633 2070
689 1000010359 2067
690 1000018571 2067
691 1000013862 2066
692 1000010683 2056
693 1000001786 2056
694 1000005467 2050
695 1000016290 2045
696 1000000532 2043
697 1000012141 2042
698 1000014257 2039
699 1000007128 2038
700 1000016262 2036
701 1000019734 2033
702 1000017773 2033
703 1000002619 2029
704 1000002690 2028
705 1000010443 2028
706 1000006358 2010
707 1000003662 2010
708 1000000251 2009
709 1000005493 2000
710 1000004296 1995
711 1000014109 1991
712 1000001723 1982
713 1000008799 1981
714 1000013924 1980
715 1000016294 1978
716 1000006384 1976
717 1000018740 1971
718 1000002264 1970
719 1000019119 1969
720 1000014363 1969
721 1000008949 1969
722 1000012859 1962
723 1000003947 1951
724 1000018734 1950
725 1000013029 1944
726 1000002262 1944
727 1000014188 1937
728 1000005708 1934
729 1000015716 1931
730 1000019104 1928
731 1000010924 1928
732 1000003731 1927
733 1000014926 1920
734 1000003957 1915
735 1000016906 1914
736 1000016512 1911
737 1000003705 1909
738 1000012418 1909
739 1000016649 1908
740 1000001761 1908
741 1000010391 1903
742 1000012764 1898
743 1000018154 1897
744 1000006181 1895
745 1000004371 1894
746 1000016224 1890
747 1000005740 1889
748 1000012441 1888
749 1000004210 1879
750 1000018575 1871
751 1000010734 1869
752 1000014098 1868
753 1000000373 1861
754 1000004411 1845
755 1000002065 1839
756 1000002964 1829
757 1000016526 1825
758 1000015620 1823
759 1000022205 1818
760 1000018515 1816
761 1000005938 1813
762 1000006364 1813
763 1000000753 1813
764 1000002365 1809
765 1000015854 1803
766 1000019026 1800
767 1000010104 1797
768 1000005878 1796
769 1000014094 1795
770 1000012857 1794
771 1000003833 1791
772 1000014186 1790
773 1000014130 1784
774 1000004055 1782
775 1000007247 1781
776 1000016631 1779
777 1000004184 1778
778 1000014194 1778
779 1000002486 1773
780 1000015474 1769
781 1000005822 1766
782 1000012145 1766
783 1000010633 1764
784 1000015338 1762
785 1000001733 1757
786 1000001260 1756
787 1000001284 1754
788 1000005916 1753
789 1000014307 1738
790 1000015863 1734
791 1000006720 1733
792 1000006953 1733
793 1000002735 1732
794 1000005503 1728
795 1000010410 1727
796 1000014296 1725
797 1000014816 1721
798 1000010045 1719
799 1000003728 1718
800 1000006509 1717
801 1000016627 1716
802 1000002314 1716
803 1000010098 1716
804 1000019006 1715
805 1000018089 1706
806 1000016585 1706
807 1000012981 1701
808 1000011004 1689
809 1000010178 1685
810 1000001705 1684
811 1000002348 1684
812 1000014514 1680
813 1000012896 1678
814 1000017915 1675
815 1000011475 1673
816 1000014326 1672
817 1000010855 1668
818 1000006728 1659
819 1000015767 1656
820 1000005970 1655
821 1000018330 1652
822 1000018356 1649
823 1000001840 1649
824 1000003317 1647
825 1000004032 1645
826 1000005724 1642
827 1000016660 1642
828 1000002033 1641
829 1000005722 1639
830 1000005770 1637
831 1000005866 1637
832 1000001995 1637
833 1000018503 1636
834 1000002478 1632
835 1000001903 1632
836 1000000351 1625
837 1000006631 1622
838 1000015672 1622
839 1000004022 1615
840 1000018714 1593
841 1000002386 1590
842 1000002723 1590
843 1000013364 1587
844 1000014087 1587
845 1000000397 1584
846 1000004281 1584
847 1000005926 1583
848 1000015810 1580
849 1000000638 1580
850 1000000433 1579
851 1000002623 1569
852 1000002063 1567
853 1000011007 1566
854 1000005944 1564
855 1000014398 1561
856 1000009075 1559
857 1000018350 1559
858 1000002971 1558
859 1000005288 1558
860 1000008132 1555
861 1000002016 1555
862 1000015342 1554
863 1000007130 1549
864 1000004396 1544
865 1000014292 1544
866 1000012423 1542
867 1000001914 1540
868 1000007424 1539
869 1000002490 1538
870 1000019867 1529
871 1000013366 1524
872 1000015792 1522
873 1000018374 1521
874 1000010967 1519
875 1000002858 1519
876 1000010904 1516
877 1000005436 1516
878 1000019176 1513
879 1000019586 1512
880 1000019094 1511
881 1000014235 1510
882 1000002890 1505
883 1000017757 1504
884 1000002636 1497
885 1000014686 1491
886 1000003701 1491
887 1000006580 1489
888 1000015884 1489
889 1000003027 1485
890 1000014139 1481
891 1000002827 1479
892 1000015460 1479
893 1000004002 1475
894 1000005870 1472
895 1000014329 1471
896 1000008960 1470
897 1000015500 1470
898 1000005996 1469
899 1000016105 1468
900 1000017985 1467
901 1000019631 1465
902 1000013159 1465
903 1000014132 1459
904 1000005988 1459
905 1000002237 1458
906 1000019130 1457
907 1000009667 1457
908 1000014073 1449
909 1000016127 1447
910 1000003407 1446
911 1000014104 1446
912 1000006420 1445
913 1000015518 1445
914 1000018378 1444
915 1000004081 1443
916 1000018190 1442
917 1000015409 1442
918 1000001765 1442
919 1000002989 1441
920 1000018579 1441
921 1000007547 1439
922 1000018703 1437
923 1000003672 1437
924 1000010084 1437
925 1000018854 1436
926 1000010051 1435
927 1000006784 1432
928 1000012969 1432
929 1000019067 1427
930 1000007355 1425
931 1000018823 1423
932 1000015178 1421
933 1000002350 1419
934 1000018596 1418
935 1000003689 1417
936 1000003037 1416
937 1000001956 1415
938 1000002221 1413
939 1000017067 1412
940 1000018953 1412
941 1000004050 1412
942 1000003800 1408
943 1000007090 1405
944 1000005485 1400
945 1000020401 1399
946 1000019530 1399
947 1000002621 1397
948 1000006819 1392
949 1000012501 1388
950 1000018726 1387
951 1000015452 1385
952 1000004108 1383
953 1000005414 1381
954 1000002804 1379
955 1000010787 1379
956 1000006344 1377
957 1000010771 1374
958 1000014730 1373
959 1000010712 1372
960 1000003670 1372
961 1000005876 1368
962 1000001294 1368
963 1000003534 1366
964 1000014516 1366
965 1000008765 1363
966 1000011407 1362
967 1000015966 1360
968 1000002133 1359
969 1000013445 1358
970 1000000662 1353
971 1000005756 1352
972 1000000589 1352
973 1000018738 1348
974 1000019108 1346
975 1000008935 1342
976 1000008954 1337
977 1000004047 1336
978 1000005633 1335
979 1000017753 1334
980 1000005994 1334
981 1000006931 1331
982 1000008943 1331
983 1000012273 1330
984 1000010562 1329
985 1000014490 1329
986 1000012123 1328
987 1000002407 1328
988 1000002246 1326
989 1000015142 1326
990 1000005958 1325
991 1000014083 1322
992 1000013254 1321
993 1000004465 1321
994 1000011439 1320
995 1000005882 1319
996 1000007261 1314
997 1000001966 1313
998 1000006320 1313
999 1000005497 1313
1000 1000005660 1312
1001 1000002874 1312
1002 1000005928 1311
1003 1000002703 1310
1004 1000016672 1309
1005 1000014077 1308
1006 1000001880 1308
1007 1000016775 1307
1008 1000017802 1307
1009 1000002326 1306
1010 1000010168 1305
1011 1000018873 1305
1012 1000011456 1304
1013 1000007284 1303
1014 1000004349 1302
1015 1000004580 1301
1016 1000011462 1301
1017 1000004070 1301
1018 1000003829 1300
1019 1000022381 1299
1020 1000006730 1299
1021 1000006062 1299
1022 1000014798 1299
1023 1000005560 1298
1024 1000014165 1294
1025 1000010806 1293
1026 1000022415 1293
1027 1000002876 1293
1028 1000017963 1293
1029 1000020421 1291
1030 1000003831 1291
1031 1000010803 1290
1032 1000002975 1289
1033 1000010581 1286
1034 1000000548 1284
1035 1000010948 1282
1036 1000016936 1281
1037 1000002409 1280
1038 1000015842 1276
1039 1000002987 1275
1040 1000014381 1274
1041 1000004163 1272
1042 1000014269 1267
1043 1000004301 1266
1044 1000019289 1265
1045 1000006052 1264
1046 1000002610 1261
1047 1000010568 1258
1048 1000004273 1258
1049 1000002289 1257
1050 1000012561 1256
1051 1000014383 1255
1052 1000002557 1255
1053 1000013934 1254
1054 1000011371 1254
1055 1000002431 1252
1056 1000001930 1250
1057 1000002810 1248
1058 1000014173 1246
1059 1000004298 1246
1060 1000016708 1245
1061 1000020765 1245
1062 1000017181 1245
1063 1000016302 1243
1064 1000002818 1241
1065 1000002544 1241
1066 1000015704 1241
1067 1000003676 1240
1068 1000002449 1240
1069 1000010933 1239
1070 1000007316 1235
1071 1000016710 1234
1072 1000018724 1229
1073 1000014572 1228
1074 1000018483 1226
1075 1000014522 1223
1076 1000010145 1222
1077 1000004261 1221
1078 1000004088 1221
1079 1000002979 1219
1080 1000017053 1219
1081 1000001788 1219
1082 1000014190 1218
1083 1000010416 1216
1084 1000018354 1213
1085 1000001947 1209
1086 1000005290 1207
1087 1000017673 1206
1088 1000002786 1203
1089 1000016609 1202
1090 1000001951 1201
1091 1000005712 1200
1092 1000005317 1199
1093 1000003275 1199
1094 1000010122 1198
1095 1000016260 1198
1096 1000016230 1198
1097 1000012647 1196
1098 1000002805 1194
1099 1000002332 1193
1100 1000004400 1192
1101 1000018897 1189
1102 1000003641 1188
1103 1000003747 1187
1104 1000014812 1187
1105 1000006456 1183
1106 1000019164 1183
1107 1000018720 1183
1108 1000017941 1183
1109 1000005888 1183
1110 1000010453 1181
1111 1000014377 1180
1112 1000014134 1179
1113 1000019762 1175
1114 1000010659 1173
1115 1000018794 1173
1116 1000017887 1173
1117 1000001896 1173
1118 1000005611 1172
1119 1000006841 1171
1120 1000018256 1166
1121 1000009669 1163
1122 1000014431 1163
1123 1000012550 1161
1124 1000011468 1159
1125 1000019444 1157
1126 1000013214 1156
1127 1000003720 1155
1128 1000013119 1154
1129 1000002320 1154
1130 1000011429 1153
1131 1000002380 1153
1132 1000015912 1152
1133 1000016077 1150
1134 1000013009 1149
1135 1000019431 1148
1136 1000000576 1143
1137 1000022409 1141
1138 1000001936 1140
1139 1000016420 1139
1140 1000015754 1138
1141 1000015545 1137
1142 1000003480 1135
1143 1000008927 1133
1144 1000005776 1132
1145 1000008826 1131
1146 1000016332 1129
1147 1000016924 1129
1148 1000006352 1127
1149 1000012238 1124
1150 1000002443 1121
1151 1000018691 1120
1152 1000001780 1120
1153 1000014465 1120
1154 1000002612 1118
1155 1000014394 1118
1156 1000018523 1117
1157 1000000681 1117
1158 1000004024 1117
1159 1000010587 1112
1160 1000012338 1112
1161 1000014294 1112
1162 1000017855 1111
1163 1000018581 1111
1164 1000010874 1111
1165 1000002894 1110
1166 1000018493 1103
1167 1000016496 1103
1168 1000005319 1102
1169 1000008753 1101
1170 1000010851 1100
1171 1000005902 1099
1172 1000010950 1099
1173 1000003568 1095
1174 1000019057 1093
1175 1000015504 1093
1176 1000002223 1093
1177 1000009989 1092
1178 1000014478 1090
1179 1000012109 1089
1180 1000000501 1087
1181 1000007477 1087
1182 1000012377 1086
1183 1000007833 1086
1184 1000013121 1083
1185 1000018511 1082
1186 1000004582 1080
1187 1000013339 1080
1188 1000015514 1080
1189 1000003798 1074
1190 1000006467 1073
1191 1000006513 1071
1192 1000006567 1070
1193 1000017077 1068
1194 1000015780 1068
1195 1000018640 1067
1196 1000006306 1065
1197 1000007088 1062
1198 1000005276 1061
1199 1000002655 1061
1200 1000022395 1060
1201 1000016657 1060
1202 1000014830 1058
1203 1000008774 1057
1204 1000002225 1057
1205 1000016258 1056
1206 1000005762 1055
1207 1000003326 1055
1208 1000006370 1055
1209 1000010954 1054
1210 1000003780 1053
1211 1000013218 1053
1212 1000011598 1053
1213 1000003009 1052
1214 1000007134 1052
1215 1000005924 1050
1216 1000010724 1048
1217 1000000389 1047
1218 1000010863 1046
1219 1000010589 1046
1220 1000002904 1046
1221 1000002439 1041
1222 1000011383 1039
1223 1000006312 1039
1224 1000016694 1038
1225 1000014085 1038
1226 1000017859 1037
1227 1000002006 1036
1228 1000002561 1036
1229 1000010996 1032
1230 1000016089 1031
1231 1000018746 1030
1232 1000006190 1024
1233 1000003645 1021
1234 1000015790 1020
1235 1000002293 1019
1236 1000011044 1019
1237 1000019014 1015
1238 1000002273 1014
1239 1000005930 1013
1240 1000001882 1010
1241 1000017838 1008
1242 1000002902 1007
1243 1000005483 1006
1244 1000010840 1006
1245 1000004145 1005
1246 1000018091 1004
1247 1000012610 1003
1248 1000001927 1002
1249 1000018183 1001
1250 1000005790 1001
1251 1000018705 999
1252 1000015506 997
1253 1000015613 997
1254 1000003437 996
1255 1000016338 996
1256 1000003373 996
1257 1000010080 994
1258 1000002794 992
1259 1000009559 992
1260 1000008741 992
1261 1000017503 990
1262 1000002824 990
1263 1000014833 989
1264 1000019440 987
1265 1000016914 986
1266 1000017830 985
1267 1000016371 984
1268 1000003313 983
1269 1000001589 982
1270 1000007102 980
1271 1000003349 980
1272 1000002741 977
1273 1000019524 976
1274 1000003789 976
1275 1000002774 974
1276 1000012602 973
1277 1000014918 972
1278 1000000804 972
1279 1000014100 972
1280 1000005448 972
1281 1000000757 971
1282 1000015385 970
1283 1000005820 969
1284 1000012267 969
1285 1000005556 968
1286 1000011754 964
1287 1000017959 958
1288 1000006450 955
1289 1000014067 953
1290 1000011642 951
1291 1000004021 951
1292 1000003716 951
1293 1000006414 949
1294 1000006208 948
1295 1000017195 947
1296 1000013768 947
1297 1000001908 946
1298 1000009991 945
1299 1000016736 944
1300 1000004148 941
1301 1000014824 939
1302 1000015358 938
1303 1000009376 937
1304 1000015832 936
1305 1000002576 936
1306 1000020725 936
1307 1000005766 936
1308 1000015038 933
1309 1000012995 933
1310 1000013150 927
1311 1000013472 926
1312 1000016206 925
1313 1000004390 925
1314 1000010791 923
1315 1000012408 920
1316 1000013381 918
1317 1000004373 917
1318 1000004655 917
1319 1000005746 917
1320 1000001739 916
1321 1000015352 913
1322 1000002792 912
1323 1000013391 911
1324 1000006909 911
1325 1000010878 911
1326 1000018833 910
1327 1000005794 910
1328 1000010005 910
1329 1000006768 909
1330 1000002059 908
1331 1000014320 907
1332 1000022247 907
1333 1000016172 905
1334 1000010176 903
1335 1000006653 900
1336 1000022309 899
1337 1000002215 897
1338 1000015502 897
1339 1000014996 896
1340 1000004030 896
1341 1000010180 895
1342 1000000552 894
1343 1000014400 894
1344 1000005615 892
1345 1000016298 891
1346 1000005621 890
1347 1000018288 890
1348 1000011636 887
1349 1000010637 887
1350 1000008987 886
1351 1000005643 882
1352 1000003035 881
1353 1000005479 881
1354 1000017883 878
1355 1000007098 877
1356 1000002800 876
1357 1000005828 875
1358 1000016916 875
1359 1000018113 875
1360 1000018679 874
1361 1000005344 871
1362 1000014947 871
1363 1000006030 870
1364 1000002177 870
1365 1000006386 870
1366 1000000516 869
1367 1000009952 868
1368 1000014036 868
1369 1000019421 867
1370 1000003540 867
